Метод,x,y,Погрешность
Runge-Kutta 4-го порядка,4.28515625,26.89548542102165,0.0
Runge-Kutta 4-го порядка,4.2890625,26.96727959314969,0.0
Runge-Kutta 4-го порядка,4.29296875,27.039204657077658,0.0
Runge-Kutta 4-го порядка,4.296875,27.11126073201484,0.0
Runge-Kutta 4-го порядка,4.30078125,27.18344793717053,0.0
Runge-Kutta 4-го порядка,4.3046875,27.255766391754015,0.0
Runge-Kutta 4-го порядка,4.30859375,27.328216214974585,0.0
Runge-Kutta 4-го порядка,4.3125,27.40079752604153,0.0
Runge-Kutta 4-го порядка,4.31640625,27.473510444164138,0.0
Runge-Kutta 4-го порядка,4.3203125,27.5463550885517,0.0
Runge-Kutta 4-го порядка,4.32421875,27.619331578413505,0.0
Runge-Kutta 4-го порядка,4.328125,27.692440032958842,0.0
Runge-Kutta 4-го порядка,4.33203125,27.765680571397002,0.0
Runge-Kutta 4-го порядка,4.3359375,27.839053312937274,0.0
Runge-Kutta 4-го порядка,4.33984375,27.912558376788947,0.0
Runge-Kutta 4-го порядка,4.34375,27.98619588216131,0.0
Runge-Kutta 4-го порядка,4.34765625,28.059965948263656,0.0
Runge-Kutta 4-го порядка,4.3515625,28.13386869430527,0.0
Runge-Kutta 4-го порядка,4.35546875,28.207904239495445,0.0
Runge-Kutta 4-го порядка,4.359375,28.282072703043468,0.0
Runge-Kutta 4-го порядка,4.36328125,28.35637420415863,0.0
Runge-Kutta 4-го порядка,4.3671875,28.43080886205022,0.0
Runge-Kutta 4-го порядка,4.37109375,28.50537679592753,0.0
Runge-Kutta 4-го порядка,4.375,28.580078124999844,0.0
Runge-Kutta 4-го порядка,4.37890625,28.654912968476456,0.0
Runge-Kutta 4-го порядка,4.3828125,28.729881445566654,0.0
Runge-Kutta 4-го порядка,4.38671875,28.80498367547973,0.0
Runge-Kutta 4-го порядка,4.390625,28.88021977742497,0.0
Runge-Kutta 4-го порядка,4.39453125,28.955589870611664,0.0
Runge-Kutta 4-го порядка,4.3984375,29.031094074249104,0.0
Runge-Kutta 4-го порядка,4.40234375,29.106732507546578,0.0
Runge-Kutta 4-го порядка,4.40625,29.182505289713376,0.0
Runge-Kutta 4-го порядка,4.41015625,29.258412539958787,0.0
Runge-Kutta 4-го порядка,4.4140625,29.3344543774921,0.0
Runge-Kutta 4-го порядка,4.41796875,29.410630921522607,0.0
Runge-Kutta 4-го порядка,4.421875,29.486942291259595,0.0
Runge-Kutta 4-го порядка,4.42578125,29.563388605912355,0.0
Runge-Kutta 4-го порядка,4.4296875,29.639969984690175,0.0
Runge-Kutta 4-го порядка,4.43359375,29.716686546802347,0.0
Runge-Kutta 4-го порядка,4.4375,29.793538411458158,0.0
Runge-Kutta 4-го порядка,4.44140625,29.8705256978669,0.0
Runge-Kutta 4-го порядка,4.4453125,29.94764852523786,0.0
Runge-Kutta 4-го порядка,4.44921875,30.02490701278033,0.0
Runge-Kutta 4-го порядка,4.453125,30.102301279703596,0.0
Runge-Kutta 4-го порядка,4.45703125,30.17983144521695,0.0
Runge-Kutta 4-го порядка,4.4609375,30.257497628529684,0.0
Runge-Kutta 4-го порядка,4.46484375,30.335299948851084,0.0
Runge-Kutta 4-го порядка,4.46875,30.41323852539044,0.0
Runge-Kutta 4-го порядка,4.47265625,30.491313477357043,0.0
Runge-Kutta 4-го порядка,4.4765625,30.56952492396018,0.0
Runge-Kutta 4-го порядка,4.48046875,30.647872984409144,0.0
Runge-Kutta 4-го порядка,4.484375,30.726357777913222,0.0
Runge-Kutta 4-го порядка,4.48828125,30.804979423681704,0.0
Runge-Kutta 4-го порядка,4.4921875,30.88373804092388,0.0
Runge-Kutta 4-го порядка,4.49609375,30.96263374884904,0.0
Runge-Kutta 4-го порядка,4.5,31.041666666666472,0.0
Runge-Kutta 4-го порядка,4.50390625,31.120836913585467,0.0
Runge-Kutta 4-го порядка,4.5078125,31.200144608815314,0.0
Runge-Kutta 4-го порядка,4.51171875,31.279589871565303,0.0
Runge-Kutta 4-го порядка,4.515625,31.359172821044723,0.0
Runge-Kutta 4-го порядка,4.51953125,31.438893576462863,0.0
Runge-Kutta 4-го порядка,4.5234375,31.518752257029014,0.0
